ID	Venue Name	City	Neighbourhood	Capacity	Price per hour	Outside Food permissable	In-house Parking	Venue Manager	Email	Phone Number	Mood	Venue URL	Venue Image
0	Cool SoMa Gallery 	San Francisco	SOMA	80	$200	Yes	No	Tony Wessling			This elegant art gallery, spacious with a minimalist design, is intimate and flooded with natural light from skylights and large windows. The venue, boasting a high ceiling and wooden floors, strictly prohibits furniture, loud music, dancing, open house events, smoking, open flames, and late-night parties.	https://www.splacer.co/venue/cool-soma-gallery	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/008884/_MGL5922_0_25x_p8jxrt.jpg
1	Politzer House	Menlo Park	Southbay	50	$403	Yes	No	Allison S.			Spotless, bright sanctuary featuring a secluded pool and patio.	https://www.splacer.co/venue/politzer-house	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1461947741/production/Splaces/001504/qbrymmcpr8ohezi7mk7a.jpg
2	Versatile, sunny event room in North Beach 	San Francisco	North beach	80	$250	No	Yes	Nicolas F.			The venue has an open layout featuring wooden floors, abundant tables, a full-length bar, and a backyard.	https://www.splacer.co/venue/versatile-sunny-event-room-in-north-beach	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/014103/2F3A2184_smaller_ubzcz9.jpg
3	Art Gallery + Plant Store - Outer Richmond 	San Francisco	Outer Richmond	80	$95	Yes	Yes	Anna. B			This vibrant art gallery boasts high ceilings and is filled with natural daylight, thanks to its storefront windows. Its interior is adorned with plentiful live plants, minimalist furniture, and an array of artwork, creating an artsy and cozy ambiance. The venue is lit by modern LED track lights, set against the backdrop of a sealed concrete floor. It offers ample space suitable for standing cocktail events or classroom-style seating. The gallery maintains a connection to the street through its open storefront.	https://www.splacer.co/venue/art-gallery-plant-store-outer-richmond	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/018426/1_srpsuj.jpg
4	Creative SOMA Loft	San Francisco	SOMA	100	$375	Yes	Yes	Amy C.			Creative 2-story loft with exposed timber, sandblasted concrete walls, floor to ceiling glass, soaring ceilings, lantern skylights, designer furniture and postmodern cabinetry. A lot of shelves. Furniture. . Whiteboard and table. Perfect for company off-sites, private parties or media production with work stations for 10, three large conference rooms for breakout groups, and an elegant patio, living, dining and kitchen area for celebrating, team-building, networking or entertaining.Very modern decor and interior design. 	https://www.splacer.co/venue/creative-soma-loft-full-building	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/020986/917_Bryant_009_irgggg.jpg
5	Art Studio	San Francisco	Russian Hill	35	$100	Yes	Yes	YIJUN G			This two-story loft features a creative design with elements such as exposed timber, sandblasted concrete walls, and floor-to-ceiling glass. Its high ceilings, lantern skylights, designer furniture, and postmodern cabinetry lend a modern aesthetic. The space is well-equipped with ample shelving, a whiteboard, and a table. It is ideal for company off-sites, private parties, or media production, offering workstations for 10, three large conference rooms for breakout groups, and a stylish patio, living, dining, and kitchen area for socializing and team-building activities.	https://www.splacer.co/venue/artistic-sunny-spacious-studio-rental	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/022734/IMG_2271_ialfzk.jpg
6	Speakeasy and Art Gallery	San Francisco	North Beach	120	$195	Yes	Yes	Annie T. 			This bohemian two-story venue boasts a private garden and a plethora of art. Despite its compact size, it offers a fairly spacious basement.	https://www.splacer.co/venue/north-beach-speakeasy-and-art-gallery#	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/016885/flensinterior_jpg_xregkm.jpg
7	Funky Lounge	San Francisco	Lower Pacific Heights	120	$100	Yes	Yes	Lauren C.			An intimate, modern venue filled with numerous chairs and tables, bathed in ample sunlight, and perfect for relaxed, casual gatherings.	https://www.peerspace.com/pages/listings/59bb380460c45b4e0023fa7f	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/rbuazhkym0ukq6sw5xoj
8	The Solarium	San Francisco	The financial district	125	$250	Yes	Yes	Jason H.			The venue is open and apt for coworking, adorned with plants and modern furniture, including tables and chairs. Original wooden-framed windows embellish the solarium, which showcases both shiny hardwood and raw concrete floors. One wall of the solarium is made of painted brick, while the opposite one is concrete.	https://www.peerspace.com/pages/listings/636a92b1d6990c002233813e	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/vqt8npzynvybfhuhc2rt
9	The Pendulum	San Francisco	South Beach	40	$195	Yes	No	Lauren A.			The rooftop venue, adorned with numerous tables and chairs, exudes an intimate atmosphere complemented by its modern design. Its lighting is particularly stunning at night.	https://www.peerspace.com/pages/listings/597a1bd1cc70a58801c9bbcc?sort_order=11	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/hhaihpaehuusd4ssz58t
10	PW Salon	San Francisco	Tenderloin	40	$80	Yes	Yes	  Nick D.			This is an adaptable, high-ceilinged open space, minimally furnished and featuring some art, which allows for versatile decoration options.	https://www.peerspace.com/pages/listings/645549687f79e6000e0a37fe	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/wz81soh9h0fe1fp4zezk
11	Industrial loft warehouse space 	San Francisco	Hayes	40	$425	Yes	No	Sandy L.			The venue features ceilings adorned with skylights, sandblasted concrete walls, and a vast 3000 square foot white oak dance floor. Two ADA-compliant bathrooms are conveniently located near the lobby. A 900 square foot lofted area offers a panoramic view of the main space. An attached building houses a kitchen, two more ADA bathrooms, and an additional 1000 square foot space for dancing or events. The combined area of these spaces totals 7500 square feet, ideal for a range of occasions including weddings, performances, parties, meetings, and lectures.	https://www.peerspace.com/pages/listings/61f33585bdb172000d3c8df8	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/qrpojagbc43g0xbcfia6
12	Intimate, Luxury Event Space in the Heart of FiDi	San Francisco	South Beach	120	$500	Yes	No	Anjelica G.			This elegantly arranged venue, graced with curated furniture and art, offers an intimate environment perfect for co-working and collaboration. The abundance of natural light enhances the aesthetically pleasing space, adorned with items sourced from local flea markets and a vintage library. Custom furniture contributes to a uniquely warm ambiance, a rare find in FiDi. The versatile event floor can be emptied, arranged for a theater-style presentation, or adapted for small group workshops.	https://www.peerspace.com/pages/listings/5e0fa288f670ae000db2edb9?sort_order=8	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/bdyh0zutg1z261hbenzt
13	Urban Versatile Zen Haven	San Francisco	Mission District	50	$95	Yes	Yes	MARC M.			The venue comprises three distinct spaces. The first, a large studio, features refinished wooden floors, white concrete walls, and partially frosted windows offering natural light from the Northwest. It has curtains on the entry side for additional privacy. The second, a front studio, includes a sisal carpet, white concrete walls, and Southeast-facing floor-to-ceiling windows which can be enclosed with curtains. The neutral palette is enhanced by a Quan Yin statue and complemented by a TV monitor and shelving. This space is adaptable, having served as a location for yoga, group meditation, livestreaming classes, and a co-working environment. The third, dubbed the White Couch Lounge, is a cozy sitting area furnished with white vinyl couches arranged in an L shape, wooden coffee tables, and ottomans. It's a versatile spot for meetings, co-working, tea tastings, meditation, and podcast recordings.	https://www.peerspace.com/pages/listings/61ea249a21ef57000d040273?sort_order=17	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/v2fa8thcp7yflujqr284
14	Ultra Modern House	Palo Alto		30	$400	Yes	Yes	Anne-Flore G.			An architecturally-designed modern house is situated in the heart of Silicon Valley. Its interior is tastefully furnished and bathed in ample light, evoking a luxurious vibe. The backyard, equally stunning and well-lit, contributes to the overall beauty of the property. 	https://www.splacer.co/venue/stunning-design-palo-alto-stanford	https://res.cloudinary.com/splacer/image/upload/e_improve,f_auto,q_auto,g_auto,c_fill,dpr_2,w_1920,h_1080/v1/production/Splaces/006837/gicy7t8lv5fmdyaqmk1p.jpg
15	Urban Winery	Redwood City	Redwood City	200	$350	Yes	Yes	Lise S.			This hidden gem of an urban winery, nestled in the Peninsula's heart, boasts a unique and charming ambiance coupled with delightful artisan wines. It's a versatile venue suitable for private and corporate gatherings, including team building exercises, charity events, holiday celebrations, wine tastings, and culinary parties.	https://www.peerspace.com/pages/listings/5b6211426743c51d008775a4	https://img.peerspace.com/image/upload/w_1200,c_limit/c_crop,g_custom,f_auto,q_auto,dpr_auto/l_PS-logo,g_south_east,x_20,y_20,w_175,o_75/vjliyckt1l4pqgmgujd5